"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C2";"CP_Radial_D5.0mm_P2.50mm";2;"10µF";;;
2;"C3, C7, C8, C9";"C_Disc_D5.0mm_W2.5mm_P5.00mm";4;"0.1uF";;;
3;"C4";"C_Disc_D5.0mm_W2.5mm_P5.00mm";1;"10uF";;;
4;"D1";"LED_D5.0mm";1;"GREEN LED";;;
5;"D2";"LED_D5.0mm";1;"RED LED";;;
6;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"TP4056 Module";;;
7;"J2";"Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal";1;"AudioJack3";;;
8;"J3";"PinHeader_1x06_P2.54mm_Horizontal";1;"SD CARD READER";;;
9;"J4";"PinHeader_1x03_P2.54mm_Vertical";1;"J5A - INMP441 Left";;;
10;"J5";"PinHeader_1x06_P2.54mm_Vertical";1;"J5B - INMP441 Right";;;
11;"J6";"PinHeader_1x08_P2.54mm_Vertical";1;"UART_HEADER";;;
12;"J7";"PinHeader_1x08_P2.54mm_Vertical";1;"Display connector";;;
13;"J8";"PinHeader_1x02_P2.54mm_Vertical";1;"MAX 98357A_left";;;
14;"J9";"PinHeader_1x07_P2.54mm_Vertical";1;"MAX 98357A_right";;;
15;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"R";;;
16;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"10k";;;
17;"R4, R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"150";;;
18;"SW1, SW2";"SW_PUSH_6mm";2;"SW_Push";;;
19;"U1";"ESP32-WROOM-32";1;"ESP32-WROOM-32";;;
20;"U2";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
